Index,sid,dyad,user_id,other_id,participant_condition,other_condition,question_content,measure
41,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,liked,NA
42,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,liked,NA
43,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,conversation_quality,NA
44,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,video_conf_quality,NA
45,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,liked,NA
46,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,liked,NA
47,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,conversation_quality,NA
48,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,video_conf_quality,NA
49,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,liked,NA
50,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,liked,NA
51,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,conversation_quality,NA
52,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,video_conf_quality,NA
53,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,liked,NA
54,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,liked,NA
55,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,conversation_quality,NA
56,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,video_conf_quality,NA
57,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,liked,1
58,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,liked,1
59,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,conversation_quality,4
60,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,video_conf_quality,1
61,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,liked,1
62,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,liked,1
63,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,conversation_quality,4
64,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,video_conf_quality,1
65,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,liked,5
66,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,liked,5
67,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,conversation_quality,5
68,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,video_conf_quality,6
69,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,liked,6
70,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,liked,5
71,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,conversation_quality,6
72,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,video_conf_quality,5
73,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,liked,NA
74,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,liked,NA
75,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,conversation_quality,NA
76,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,video_conf_quality,NA
77,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,liked,NA
78,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,liked,NA
79,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,conversation_quality,NA
80,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,video_conf_quality,NA
81,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,liked,NA
82,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,liked,NA
83,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,conversation_quality,NA
84,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,video_conf_quality,NA
85,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,liked,NA
86,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,liked,NA
87,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,conversation_quality,NA
88,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,video_conf_quality,NA
89,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,liked,NA
90,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,liked,NA
91,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,conversation_quality,NA
92,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,video_conf_quality,NA
93,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,liked,NA
94,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,liked,NA
95,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,conversation_quality,NA
96,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,video_conf_quality,NA
97,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,liked,NA
98,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,liked,NA
99,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,conversation_quality,NA
100,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,video_conf_quality,NA
101,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,liked,NA
102,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,liked,NA
103,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,conversation_quality,NA
104,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,video_conf_quality,NA
105,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,liked,NA
106,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,liked,NA
107,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,conversation_quality,NA
108,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,video_conf_quality,NA
109,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,liked,NA
110,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,liked,NA
111,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,conversation_quality,NA
112,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,video_conf_quality,NA
113,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,liked,0
114,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,liked,0
115,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,conversation_quality,0
116,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,video_conf_quality,0
117,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,liked,0
118,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,liked,0
119,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,conversation_quality,0
120,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,video_conf_quality,0
121,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,liked,0
122,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,liked,0
123,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,conversation_quality,0
124,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,video_conf_quality,0
125,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,liked,NA
126,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,liked,NA
127,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,conversation_quality,NA
128,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,video_conf_quality,NA
129,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,liked,NA
130,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,liked,NA
131,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,conversation_quality,NA
132,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,video_conf_quality,NA
133,mk:real_meeting_experiment_prolific:1,NA,mk:real_meeting_experiment_prolific:1NA,mk:real_meeting_experiment_prolific:1NA,NA,S,liked,NA
