"X","index","sid","dyad","user_id","other_id","participant_condition","other_condition","question_content","measure","condition"
40,40,"mk:prolific_participant_real_2:1","p2p6","mk:prolific_participant_real_2:1p6","mk:prolific_participant_real_2:1p2","S","U","liked",7,"SU"
41,41,"mk:prolific_participant_real_2:1","p2p6","mk:prolific_participant_real_2:1p6","mk:prolific_participant_real_2:1p2","S","U","other_liked",6,"SU"
42,42,"mk:prolific_participant_real_2:1","p2p6","mk:prolific_participant_real_2:1p6","mk:prolific_participant_real_2:1p2","S","U","conversation_quality",7,"SU"
43,43,"mk:prolific_participant_real_2:1","p2p6","mk:prolific_participant_real_2:1p6","mk:prolific_participant_real_2:1p2","S","U","video_conf_quality",7,"SU"
44,44,"mk:prolific_participant_real_2:1","p2p7","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1p7","U","U","liked",7,"UU"
45,45,"mk:prolific_participant_real_2:1","p2p7","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1p7","U","U","other_liked",6,"UU"
46,46,"mk:prolific_participant_real_2:1","p2p7","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1p7","U","U","conversation_quality",7,"UU"
47,47,"mk:prolific_participant_real_2:1","p2p7","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1p7","U","U","video_conf_quality",4,"UU"
48,48,"mk:prolific_participant_real_2:1","p2p8","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1p8","S","U","liked",7,"SU"
49,49,"mk:prolific_participant_real_2:1","p2p8","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1p8","S","U","other_liked",6,"SU"
50,50,"mk:prolific_participant_real_2:1","p2p8","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1p8","S","U","conversation_quality",7,"SU"
51,51,"mk:prolific_participant_real_2:1","p2p8","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1p8","S","U","video_conf_quality",7,"SU"
52,52,"mk:prolific_participant_real_2:1","p2p8","mk:prolific_participant_real_2:1p8","mk:prolific_participant_real_2:1p2","U","S","liked",7,"US"
53,53,"mk:prolific_participant_real_2:1","p2p8","mk:prolific_participant_real_2:1p8","mk:prolific_participant_real_2:1p2","U","S","other_liked",7,"US"
54,54,"mk:prolific_participant_real_2:1","p2p8","mk:prolific_participant_real_2:1p8","mk:prolific_participant_real_2:1p2","U","S","conversation_quality",7,"US"
55,55,"mk:prolific_participant_real_2:1","p2p8","mk:prolific_participant_real_2:1p8","mk:prolific_participant_real_2:1p2","U","S","video_conf_quality",7,"US"
56,56,"mk:prolific_participant_real_2:1","p3p5","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1p3","S","U","liked",4,"SU"
57,57,"mk:prolific_participant_real_2:1","p3p5","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1p3","S","U","other_liked",4,"SU"
58,58,"mk:prolific_participant_real_2:1","p3p5","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1p3","S","U","conversation_quality",4,"SU"
59,59,"mk:prolific_participant_real_2:1","p3p5","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1p3","S","U","video_conf_quality",4,"SU"
