...1,index,sid,dyad,user_id,other_id,participant_condition,other_condition,question_content,measure,relationship,measure.p,measure.t
114,114,mk:prolific_participant_real_2:2,p2p5,mk:prolific_participant_real_2:2p2,mk:prolific_participant_real_2:2p5,S,S,conversation_quality,6,0.114530888814776,0.264968819088406,0.330123212602403
112,112,mk:prolific_participant_real_2:2,p2p5,mk:prolific_participant_real_2:2p2,mk:prolific_participant_real_2:2p5,S,S,liked,6,0.372037997321478,-0.0249681207868786,0.237571583853828
113,113,mk:prolific_participant_real_2:2,p2p5,mk:prolific_participant_real_2:2p2,mk:prolific_participant_real_2:2p5,S,S,other_liked,6,0.642540594888112,-0.0391474035051136,0.181514872444999
115,115,mk:prolific_participant_real_2:2,p2p5,mk:prolific_participant_real_2:2p2,mk:prolific_participant_real_2:2p5,S,S,video_conf_quality,6,0.206676975129143,-0.151307370927599,0.0744286113315162
142,142,mk:prolific_participant_real_2:2,p3p5,mk:prolific_participant_real_2:2p3,mk:prolific_participant_real_2:2p5,U,S,conversation_quality,7,1.1350495626056,0.244450145297581,0.0594223870171433
140,140,mk:prolific_participant_real_2:2,p3p5,mk:prolific_participant_real_2:2p3,mk:prolific_participant_real_2:2p5,U,S,liked,6,0.0322891114250066,0.314780765109592,-0.0174170600043411
141,141,mk:prolific_participant_real_2:2,p3p5,mk:prolific_participant_real_2:2p3,mk:prolific_participant_real_2:2p5,U,S,other_liked,6,0.105268962799556,0.498124228583442,0.159921434190538
143,143,mk:prolific_participant_real_2:2,p3p5,mk:prolific_participant_real_2:2p3,mk:prolific_participant_real_2:2p5,U,S,video_conf_quality,7,0.6752349157182,0.380134688483344,-0.0231039259168844
174,174,mk:prolific_participant_real_2:2,p4p5,mk:prolific_participant_real_2:2p4,mk:prolific_participant_real_2:2p5,S,U,conversation_quality,4,-0.961833575415232,-0.658666716681586,-0.00995424058702365
172,172,mk:prolific_participant_real_2:2,p4p5,mk:prolific_participant_real_2:2p4,mk:prolific_participant_real_2:2p5,S,U,liked,4,-1.25909272451249,-0.393837398952908,0.10770501030816
173,173,mk:prolific_participant_real_2:2,p4p5,mk:prolific_participant_real_2:2p4,mk:prolific_participant_real_2:2p5,S,U,other_liked,4,-0.991614175221276,-0.404992633395726,0.0905448065863714
175,175,mk:prolific_participant_real_2:2,p4p5,mk:prolific_participant_real_2:2p4,mk:prolific_participant_real_2:2p5,S,U,video_conf_quality,5,-0.43552354782346703,-0.509106847974989,0.0881428188747835
90,90,mk:prolific_participant_real_2:2,p1p5,mk:prolific_participant_real_2:2p5,mk:prolific_participant_real_2:2p1,U,U,conversation_quality,7,1.84050958118741,0.25546391805013,0.440593401590982
88,88,mk:prolific_participant_real_2:2,p1p5,mk:prolific_participant_real_2:2p5,mk:prolific_participant_real_2:2p1,U,U,liked,7,1.68655470060924,0.345372517903646,0.344175974527994
89,89,mk:prolific_participant_real_2:2,p1p5,mk:prolific_participant_real_2:2p5,mk:prolific_participant_real_2:2p1,U,U,other_liked,6,1.18560375864544,0.148206075032553,0.31980323791504
91,91,mk:prolific_participant_real_2:2,p1p5,mk:prolific_participant_real_2:2p5,mk:prolific_participant_real_2:2p1,U,U,video_conf_quality,7,0.686640754578606,0.520000457763672,0.423076311747233
98,98,mk:prolific_participant_real_2:2,p1p6,mk:prolific_participant_real_2:2p6,mk:prolific_participant_real_2:2p1,U,S,conversation_quality,1,-2.81187485891675,-1.0921516418457,-0.740274111429851
96,96,mk:prolific_participant_real_2:2,p1p6,mk:prolific_participant_real_2:2p6,mk:prolific_participant_real_2:2p1,U,S,liked,1,-2.81295701814076,-1.15511576334635,-0.489320119222005
97,97,mk:prolific_participant_real_2:2,p1p6,mk:prolific_participant_real_2:2p6,mk:prolific_participant_real_2:2p1,U,S,other_liked,1,-2.50840665802123,-1.15778350830078,-0.319194157918295
99,99,mk:prolific_participant_real_2:2,p1p6,mk:prolific_participant_real_2:2p6,mk:prolific_participant_real_2:2p1,U,S,video_conf_quality,5,0.0758822910369394,-0.869241078694661,-1.2996613184611
106,106,mk:prolific_participant_real_2:2,p1p7,mk:prolific_participant_real_2:2p7,mk:prolific_participant_real_2:2p1,S,S,conversation_quality,6,0.479262836395749,0.616710662841795,0.468344052632649
104,104,mk:prolific_participant_real_2:2,p1p7,mk:prolific_participant_real_2:2p7,mk:prolific_participant_real_2:2p1,S,S,liked,6,0.505931328213405,0.525995890299479,0.358051300048828
105,105,mk:prolific_participant_real_2:2,p1p7,mk:prolific_participant_real_2:2p7,mk:prolific_participant_real_2:2p1,S,S,other_liked,6,0.65760896697877,0.67620086669922,0.180805842081706
107,107,mk:prolific_participant_real_2:2,p1p7,mk:prolific_participant_real_2:2p7,mk:prolific_participant_real_2:2p1,S,S,video_conf_quality,6,-0.146611198546394,0.353252410888672,0.589824358622233
170,170,mk:prolific_participant_real_2:2,p3p8,mk:prolific_participant_real_2:2p8,mk:prolific_participant_real_2:2p3,U,U,conversation_quality,5,-0.569527724432565,0.330198446909586,-0.272374312082928
168,168,mk:prolific_participant_real_2:2,p3p8,mk:prolific_participant_real_2:2p8,mk:prolific_participant_real_2:2p3,U,U,liked,5,-0.568773027450318,0.277435938517252,-0.200085322062176
169,169,mk:prolific_participant_real_2:2,p3p8,mk:prolific_participant_real_2:2p8,mk:prolific_participant_real_2:2p3,U,U,other_liked,5,-0.600583863636803,0.363858858744303,-0.202782630920409
171,171,mk:prolific_participant_real_2:2,p3p8,mk:prolific_participant_real_2:2p8,mk:prolific_participant_real_2:2p3,U,U,video_conf_quality,6,0.0890810905940969,0.412468751271565,-0.12451155980428
214,214,mk:prolific_participant_real_3:1,p2p5,mk:prolific_participant_real_3:1p2,mk:prolific_participant_real_3:1p5,S,S,conversation_quality,7,0.622844328703702,0.37715808256173,0.259343653549383
212,212,mk:prolific_participant_real_3:1,p2p5,mk:prolific_participant_real_3:1p2,mk:prolific_participant_real_3:1p5,S,S,liked,7,0.511317274305554,0.240053530092593,0.187680844907408
