"dyad_std","question_content","relationship1","relationship2"
"mk:prolific_participant_real_2:2p2_mk:prolific_participant_real_2:2p6","other_liked",0.281537990721446,-0.10053493484618
"mk:prolific_participant_real_2:2p2_mk:prolific_participant_real_2:2p6","video_conf_quality",0.929414605337477,0.273258383311922
"mk:prolific_participant_real_2:2p2_mk:prolific_participant_real_2:2p7","conversation_quality",0.0867802377731088,-0.126740765950034
"mk:prolific_participant_real_2:2p2_mk:prolific_participant_real_2:2p7","liked",0.358162671800644,-0.0723216230907138
"mk:prolific_participant_real_2:2p2_mk:prolific_participant_real_2:2p7","other_liked",-0.218462009278555,0.0654806901538194
"mk:prolific_participant_real_2:2p2_mk:prolific_participant_real_2:2p7","video_conf_quality",0.0399289282541426,0.0507648937285889
"mk:prolific_participant_real_2:2p3_mk:prolific_participant_real_2:2p5","conversation_quality",1.1350495626056,-0.494793195573109
"mk:prolific_participant_real_2:2p3_mk:prolific_participant_real_2:2p5","liked",0.0322891114250066,-0.636709606836711
"mk:prolific_participant_real_2:2p3_mk:prolific_participant_real_2:2p5","other_liked",0.105268962799556,-0.384931079925053
"mk:prolific_participant_real_2:2p3_mk:prolific_participant_real_2:2p5","video_conf_quality",0.6752349157182,-0.0184506158980104
"mk:prolific_participant_real_2:2p3_mk:prolific_participant_real_2:2p6","conversation_quality",-1.68408292437357,0.852822364322725
"mk:prolific_participant_real_2:2p3_mk:prolific_participant_real_2:2p6","liked",-0.134214794824994,0.863778674413289
"mk:prolific_participant_real_2:2p3_mk:prolific_participant_real_2:2p6","other_liked",-0.255733641367109,0.921058503408281
"mk:prolific_participant_real_2:2p3_mk:prolific_participant_real_2:2p6","video_conf_quality",-1.60202745407347,-0.629209079439677
"mk:prolific_participant_real_2:2p3_mk:prolific_participant_real_2:2p7","conversation_quality",0.107298911563934,0.143960059635226
"mk:prolific_participant_real_2:2p3_mk:prolific_participant_real_2:2p7","liked",0.0184137859041726,0.182667020767456
"mk:prolific_participant_real_2:2p3_mk:prolific_participant_real_2:2p7","other_liked",0.24426635863289,0.0870741284082799
"mk:prolific_participant_real_2:2p3_mk:prolific_participant_real_2:2p7","video_conf_quality",0.5084868688432,0.14829743097699
"mk:prolific_participant_real_2:2p3_mk:prolific_participant_real_2:2p8","conversation_quality",0.848017276279511,-0.569527724432565
"mk:prolific_participant_real_2:2p3_mk:prolific_participant_real_2:2p8","liked",0.576550408015176,-0.568773027450318
"mk:prolific_participant_real_2:2p3_mk:prolific_participant_real_2:2p8","other_liked",0.627854831635005,-0.600583863636803
"mk:prolific_participant_real_2:2p3_mk:prolific_participant_real_2:2p8","video_conf_quality",1.22282278726971,0.0890810905940969
"mk:prolific_participant_real_2:2p4_mk:prolific_participant_real_2:2p5","conversation_quality",-0.961833575415232,-1.42541656796894
"mk:prolific_participant_real_2:2p4_mk:prolific_participant_real_2:2p5","liked",-1.25909272451249,-0.761831677149212
"mk:prolific_participant_real_2:2p4_mk:prolific_participant_real_2:2p5","other_liked",-0.991614175221276,-1.31555445232089
"mk:prolific_participant_real_2:2p4_mk:prolific_participant_real_2:2p5","video_conf_quality",-0.435523547823467,-0.129697360689678
"mk:prolific_participant_real_2:2p4_mk:prolific_participant_real_2:2p6","conversation_quality",0.219033937605601,-0.0778010080731084
"mk:prolific_participant_real_2:2p4_mk:prolific_participant_real_2:2p6","liked",0.574403369237507,-0.261343395899212
"mk:prolific_participant_real_2:2p4_mk:prolific_participant_real_2:2p6","other_liked",0.647383220612059,-0.00956486898755227
"mk:prolific_participant_real_2:2p4_mk:prolific_participant_real_2:2p6","video_conf_quality",-0.712785917615133,-0.740455824231345
"mk:prolific_participant_real_2:2p4_mk:prolific_participant_real_2:2p7","conversation_quality",-0.989584226456899,0.213336687239392
"mk:prolific_participant_real_2:2p4_mk:prolific_participant_real_2:2p7","liked",-1.27296805003333,0.0575449504549548
"mk:prolific_participant_real_2:2p4_mk:prolific_participant_real_2:2p7","other_liked",-0.852616779387942,0.156450756012447
"mk:prolific_participant_real_2:2p4_mk:prolific_participant_real_2:2p7","video_conf_quality",-0.602271594698467,0.0370506861853217
"mk:prolific_participant_real_2:2p4_mk:prolific_participant_real_2:2p8","conversation_quality",0.751134138258678,1.4998489031716
"mk:prolific_participant_real_2:2p4_mk:prolific_participant_real_2:2p8","liked",1.28516857207768,1.30610490223718
