"","group.id","participant_nb","interacting_partner","dyad","relationship"
"41","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p7","mk:prolific_participant_real_2:1p8","mk:prolific_participant_real_2:1_21",NA
"42","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p8","mk:prolific_participant_real_2:1p7","mk:prolific_participant_real_2:1_21",NA
"43","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2_1",NA
"44","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2_1",NA
"45","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2p3","mk:prolific_participant_real_2:2_2",NA
"46","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p3","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2_2",NA
"47","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2p4","mk:prolific_participant_real_2:2_3",NA
"48","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p4","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2_3",NA
"49","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2p5","mk:prolific_participant_real_2:2_4",0.191570615011547
"50","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p5","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2_4",0.686640754578606
"51","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2p6","mk:prolific_participant_real_2:2_5",-0.0856917547801199
"52","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p6","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2_5",0.0758822910369386
"53","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2p7","mk:prolific_participant_real_2:2_6",1.02482256813655
"54","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p7","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2_6",-0.146611198546394
"55","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2p8","mk:prolific_participant_real_2:2_7",-1.26084151343694
"56","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p8","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2_7",NA
"57","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2p3","mk:prolific_participant_real_2:2_8",NA
"58","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p3","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2_8",NA
"59","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2p4","mk:prolific_participant_real_2:2_9",NA
"60","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p4","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2_9",NA
"61","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2p5","mk:prolific_participant_real_2:2_10",0.206676975129142
"62","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p5","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2_10",-0.115983153146412
"63","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2p6","mk:prolific_participant_real_2:2_11",0.929414605337475
"64","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p6","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2_11",0.273258383311921
"65","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2p7","mk:prolific_participant_real_2:2_12",0.0399289282541417
"66","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p7","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2_12",0.0507648937285881
"67","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2p8","mk:prolific_participant_real_2:2_13",-1.24573515331934
"68","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p8","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2_13",NA
"69","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p3","mk:prolific_participant_real_2:2p4","mk:prolific_participant_real_2:2_14",NA
"70","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p4","mk:prolific_participant_real_2:2p3","mk:prolific_participant_real_2:2_14",NA
"71","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p3","mk:prolific_participant_real_2:2p5","mk:prolific_participant_real_2:2_15",0.675234915718198
"72","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p5","mk:prolific_participant_real_2:2p3","mk:prolific_participant_real_2:2_15",-0.0184506158980113
"73","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p3","mk:prolific_participant_real_2:2p6","mk:prolific_participant_real_2:2_16",-1.60202745407347
"74","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p6","mk:prolific_participant_real_2:2p3","mk:prolific_participant_real_2:2_16",-0.629209079439678
"75","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p3","mk:prolific_participant_real_2:2p7","mk:prolific_participant_real_2:2_17",0.508486868843198
"76","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p7","mk:prolific_participant_real_2:2p3","mk:prolific_participant_real_2:2_17",0.148297430976989
"77","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p3","mk:prolific_participant_real_2:2p8","mk:prolific_participant_real_2:2_18",1.22282278726971
"78","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p8","mk:prolific_participant_real_2:2p3","mk:prolific_participant_real_2:2_18",0.0890810905940942
"79","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p4","mk:prolific_participant_real_2:2p5","mk:prolific_participant_real_2:2_19",-0.435523547823468
"80","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p5","mk:prolific_participant_real_2:2p4","mk:prolific_participant_real_2:2_19",-0.129697360689679
"81","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p4","mk:prolific_participant_real_2:2p6","mk:prolific_participant_real_2:2_20",-0.712785917615135
"82","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p6","mk:prolific_participant_real_2:2p4","mk:prolific_participant_real_2:2_20",-0.740455824231346
"83","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p4","mk:prolific_participant_real_2:2p7","mk:prolific_participant_real_2:2_21",-0.602271594698468
"84","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p7","mk:prolific_participant_real_2:2p4","mk:prolific_participant_real_2:2_21",0.0370506861853208
"85","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p4","mk:prolific_participant_real_2:2p8","mk:prolific_participant_real_2:2_22",1.11206432372805
"86","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p8","mk:prolific_participant_real_2:2p4","mk:prolific_participant_real_2:2_22",0.977834345802426
"87","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p5","mk:prolific_participant_real_2:2p6","mk:prolific_participant_real_2:2_23",NA
"88","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p6","mk:prolific_participant_real_2:2p5","mk:prolific_participant_real_2:2_23",NA
"89","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p5","mk:prolific_participant_real_2:2p7","mk:prolific_participant_real_2:2_24",NA
"90","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p7","mk:prolific_participant_real_2:2p5","mk:prolific_participant_real_2:2_24",NA
"91","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p5","mk:prolific_participant_real_2:2p8","mk:prolific_participant_real_2:2_25",NA
"92","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p8","mk:prolific_participant_real_2:2p5","mk:prolific_participant_real_2:2_25",NA
"93","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p6","mk:prolific_participant_real_2:2p7","mk:prolific_participant_real_2:2_26",NA
"94","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p7","mk:prolific_participant_real_2:2p6","mk:prolific_participant_real_2:2_26",NA
"95","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p6","mk:prolific_participant_real_2:2p8","mk:prolific_participant_real_2:2_27",NA
"96","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p8","mk:prolific_participant_real_2:2p6","mk:prolific_participant_real_2:2_27",NA
"97","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p7","mk:prolific_participant_real_2:2p8","mk:prolific_participant_real_2:2_28",NA
"98","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p8","mk:prolific_participant_real_2:2p7","mk:prolific_participant_real_2:2_28",NA
"99","mk:prolific_participant_real_3:1","mk:prolific_participant_real_3:1p2","mk:prolific_participant_real_3:1p3","mk:prolific_participant_real_3:1_1",NA
"100","mk:prolific_participant_real_3:1","mk:prolific_participant_real_3:1p3","mk:prolific_participant_real_3:1p2","mk:prolific_participant_real_3:1_1",NA
"101","mk:prolific_participant_real_3:1","mk:prolific_participant_real_3:1p2","mk:prolific_participant_real_3:1p4","mk:prolific_participant_real_3:1_2",NA
"102","mk:prolific_participant_real_3:1","mk:prolific_participant_real_3:1p4","mk:prolific_participant_real_3:1p2","mk:prolific_participant_real_3:1_2",NA
"103","mk:prolific_participant_real_3:1","mk:prolific_participant_real_3:1p2","mk:prolific_participant_real_3:1p5","mk:prolific_participant_real_3:1_3",0.0170609085648135
"104","mk:prolific_participant_real_3:1","mk:prolific_participant_real_3:1p5","mk:prolific_participant_real_3:1p2","mk:prolific_participant_real_3:1_3",0.378991849922838
"105","mk:prolific_participant_real_3:1","mk:prolific_participant_real_3:1p2","mk:prolific_participant_real_3:1p6","mk:prolific_participant_real_3:1_4",0.40589554398148
"106","mk:prolific_participant_real_3:1","mk:prolific_participant_real_3:1p6","mk:prolific_participant_real_3:1p2","mk:prolific_participant_real_3:1_4",-1.34285059799383
"107","mk:prolific_participant_real_3:1","mk:prolific_participant_real_3:1p2","mk:prolific_participant_real_3:1p7","mk:prolific_participant_real_3:1_5",NA
"108","mk:prolific_participant_real_3:1","mk:prolific_participant_real_3:1p7","mk:prolific_participant_real_3:1p2","mk:prolific_participant_real_3:1_5",0.485541315693585
"109","mk:prolific_participant_real_3:1","mk:prolific_participant_real_3:1p3","mk:prolific_participant_real_3:1p4","mk:prolific_participant_real_3:1_6",NA
"110","mk:prolific_participant_real_3:1","mk:prolific_participant_real_3:1p4","mk:prolific_participant_real_3:1p3","mk:prolific_participant_real_3:1_6",NA
"111","mk:prolific_participant_real_3:1","mk:prolific_participant_real_3:1p3","mk:prolific_participant_real_3:1p5","mk:prolific_participant_real_3:1_7",0.499840119705931
"112","mk:prolific_participant_real_3:1","mk:prolific_participant_real_3:1p5","mk:prolific_participant_real_3:1p3","mk:prolific_participant_real_3:1_7",0.0496233737354235
"113","mk:prolific_participant_real_3:1","mk:prolific_participant_real_3:1p3","mk:prolific_participant_real_3:1p6","mk:prolific_participant_real_3:1_8",-0.111325244877402
"114","mk:prolific_participant_real_3:1","mk:prolific_participant_real_3:1p6","mk:prolific_participant_real_3:1p3","mk:prolific_participant_real_3:1_8",0.327780925818757
"115","mk:prolific_participant_real_3:1","mk:prolific_participant_real_3:1p3","mk:prolific_participant_real_3:1p7","mk:prolific_participant_real_3:1_9",-1.53713831018519
"116","mk:prolific_participant_real_3:1","mk:prolific_participant_real_3:1p7","mk:prolific_participant_real_3:1p3","mk:prolific_participant_real_3:1_9",0.156172839506171
"117","mk:prolific_participant_real_3:1","mk:prolific_participant_real_3:1p4","mk:prolific_participant_real_3:1p5","mk:prolific_participant_real_3:1_10",-0.250729541752403
"118","mk:prolific_participant_real_3:1","mk:prolific_participant_real_3:1p5","mk:prolific_participant_real_3:1p4","mk:prolific_participant_real_3:1_10",-0.144631183556243
"119","mk:prolific_participant_real_3:1","mk:prolific_participant_real_3:1p4","mk:prolific_participant_real_3:1p6","mk:prolific_participant_real_3:1_11",0.138105093664264
"120","mk:prolific_participant_real_3:1","mk:prolific_participant_real_3:1p6","mk:prolific_participant_real_3:1p4","mk:prolific_participant_real_3:1_11",0.133526368527091
"121","mk:prolific_participant_real_3:1","mk:prolific_participant_real_3:1p4","mk:prolific_participant_real_3:1p7","mk:prolific_participant_real_3:1_12",0.71229202835648
