"","group.id","participant_nb","interacting_partner","dyad","relationship"
"41","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p7","mk:prolific_participant_real_2:1p8","mk:prolific_participant_real_2:1_21",NA
"42","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p8","mk:prolific_participant_real_2:1p7","mk:prolific_participant_real_2:1_21",NA
"43","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2_1",NA
"44","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2_1",NA
"45","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2p3","mk:prolific_participant_real_2:2_2",NA
"46","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p3","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2_2",NA
"47","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2p4","mk:prolific_participant_real_2:2_3",NA
"48","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p4","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2_3",NA
"49","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2p5","mk:prolific_participant_real_2:2_4",0.687859675240896
"50","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p5","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2_4",1.18560375864544
"51","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2p6","mk:prolific_participant_real_2:2_5",-0.67314292892577
"52","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p6","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2_5",-2.50840665802123
"53","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2p7","mk:prolific_participant_real_2:2_6",0.82685707107423
"54","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p7","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2_6",0.65760896697877
"55","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2p8","mk:prolific_participant_real_2:2_7",-0.789554455923655
"56","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p8","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2_7",NA
"57","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2p3","mk:prolific_participant_real_2:2_8",NA
"58","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p3","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2_8",NA
"59","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2p4","mk:prolific_participant_real_2:2_9",NA
"60","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p4","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2_9",NA
"61","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2p5","mk:prolific_participant_real_2:2_10",0.642540594888112
"62","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p5","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2_10",0.593475481820486
"63","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2p6","mk:prolific_participant_real_2:2_11",0.281537990721446
"64","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p6","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2_11",-0.10053493484618
"65","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2p7","mk:prolific_participant_real_2:2_12",-0.218462009278555
"66","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p7","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2_12",0.0654806901538194
"67","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2p8","mk:prolific_participant_real_2:2_13",-0.834873536276439
"68","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p8","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2_13",NA
"69","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p3","mk:prolific_participant_real_2:2p4","mk:prolific_participant_real_2:2_14",NA
"70","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p4","mk:prolific_participant_real_2:2p3","mk:prolific_participant_real_2:2_14",NA
"71","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p3","mk:prolific_participant_real_2:2p5","mk:prolific_participant_real_2:2_15",0.105268962799556
"72","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p5","mk:prolific_participant_real_2:2p3","mk:prolific_participant_real_2:2_15",-0.384931079925053
"73","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p3","mk:prolific_participant_real_2:2p6","mk:prolific_participant_real_2:2_16",-0.255733641367109
"74","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p6","mk:prolific_participant_real_2:2p3","mk:prolific_participant_real_2:2_16",0.921058503408281
"75","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p3","mk:prolific_participant_real_2:2p7","mk:prolific_participant_real_2:2_17",0.24426635863289
"76","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p7","mk:prolific_participant_real_2:2p3","mk:prolific_participant_real_2:2_17",0.0870741284082799
"77","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p3","mk:prolific_participant_real_2:2p8","mk:prolific_participant_real_2:2_18",0.627854831635005
"78","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p8","mk:prolific_participant_real_2:2p3","mk:prolific_participant_real_2:2_18",-0.600583863636803
"79","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p4","mk:prolific_participant_real_2:2p5","mk:prolific_participant_real_2:2_19",-0.991614175221276
"80","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p5","mk:prolific_participant_real_2:2p4","mk:prolific_participant_real_2:2_19",-1.31555445232089
"81","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p4","mk:prolific_participant_real_2:2p6","mk:prolific_participant_real_2:2_20",0.647383220612059
"82","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p6","mk:prolific_participant_real_2:2p4","mk:prolific_participant_real_2:2_20",-0.00956486898755227
"83","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p4","mk:prolific_participant_real_2:2p7","mk:prolific_participant_real_2:2_21",-0.852616779387942
"84","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p7","mk:prolific_participant_real_2:2p4","mk:prolific_participant_real_2:2_21",0.156450756012447
"85","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p4","mk:prolific_participant_real_2:2p8","mk:prolific_participant_real_2:2_22",0.530971693614173
"86","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p8","mk:prolific_participant_real_2:2p4","mk:prolific_participant_real_2:2_22",1.46879276396736
"87","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p5","mk:prolific_participant_real_2:2p6","mk:prolific_participant_real_2:2_23",NA
"88","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p6","mk:prolific_participant_real_2:2p5","mk:prolific_participant_real_2:2_23",NA
"89","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p5","mk:prolific_participant_real_2:2p7","mk:prolific_participant_real_2:2_24",NA
"90","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p7","mk:prolific_participant_real_2:2p5","mk:prolific_participant_real_2:2_24",NA
"91","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p5","mk:prolific_participant_real_2:2p8","mk:prolific_participant_real_2:2_25",NA
"92","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p8","mk:prolific_participant_real_2:2p5","mk:prolific_participant_real_2:2_25",NA
"93","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p6","mk:prolific_participant_real_2:2p7","mk:prolific_participant_real_2:2_26",NA
"94","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p7","mk:prolific_participant_real_2:2p6","mk:prolific_participant_real_2:2_26",NA
"95","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p6","mk:prolific_participant_real_2:2p8","mk:prolific_participant_real_2:2_27",NA
"96","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p8","mk:prolific_participant_real_2:2p6","mk:prolific_participant_real_2:2_27",NA
"97","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p7","mk:prolific_participant_real_2:2p8","mk:prolific_participant_real_2:2_28",NA
"98","mk:prolific_participant_real_2:2","mk:prolific_participant_real_2:2p8","mk:prolific_participant_real_2:2p7","mk:prolific_participant_real_2:2_28",NA
"99","mk:prolific_participant_real_3:1","mk:prolific_participant_real_3:1p2","mk:prolific_participant_real_3:1p3","mk:prolific_participant_real_3:1_1",NA
"100","mk:prolific_participant_real_3:1","mk:prolific_participant_real_3:1p3","mk:prolific_participant_real_3:1p2","mk:prolific_participant_real_3:1_1",NA
"101","mk:prolific_participant_real_3:1","mk:prolific_participant_real_3:1p2","mk:prolific_participant_real_3:1p4","mk:prolific_participant_real_3:1_2",NA
"102","mk:prolific_participant_real_3:1","mk:prolific_participant_real_3:1p4","mk:prolific_participant_real_3:1p2","mk:prolific_participant_real_3:1_2",NA
"103","mk:prolific_participant_real_3:1","mk:prolific_participant_real_3:1p2","mk:prolific_participant_real_3:1p5","mk:prolific_participant_real_3:1_3",-0.216652199074076
"104","mk:prolific_participant_real_3:1","mk:prolific_participant_real_3:1p5","mk:prolific_participant_real_3:1p2","mk:prolific_participant_real_3:1_3",-0.0334924768518556
"105","mk:prolific_participant_real_3:1","mk:prolific_participant_real_3:1p2","mk:prolific_participant_real_3:1p6","mk:prolific_participant_real_3:1_4",0.308087384259257
"106","mk:prolific_participant_real_3:1","mk:prolific_participant_real_3:1p6","mk:prolific_participant_real_3:1p2","mk:prolific_participant_real_3:1_4",0.163122106481477
"107","mk:prolific_participant_real_3:1","mk:prolific_participant_real_3:1p2","mk:prolific_participant_real_3:1p7","mk:prolific_participant_real_3:1_5",NA
"108","mk:prolific_participant_real_3:1","mk:prolific_participant_real_3:1p7","mk:prolific_participant_real_3:1p2","mk:prolific_participant_real_3:1_5",-0.0779320987654364
"109","mk:prolific_participant_real_3:1","mk:prolific_participant_real_3:1p3","mk:prolific_participant_real_3:1p4","mk:prolific_participant_real_3:1_6",NA
"110","mk:prolific_participant_real_3:1","mk:prolific_participant_real_3:1p4","mk:prolific_participant_real_3:1p3","mk:prolific_participant_real_3:1_6",NA
"111","mk:prolific_participant_real_3:1","mk:prolific_participant_real_3:1p3","mk:prolific_participant_real_3:1p5","mk:prolific_participant_real_3:1_7",0.212866512345676
"112","mk:prolific_participant_real_3:1","mk:prolific_participant_real_3:1p5","mk:prolific_participant_real_3:1p3","mk:prolific_participant_real_3:1_7",0.262249228395059
"113","mk:prolific_participant_real_3:1","mk:prolific_participant_real_3:1p3","mk:prolific_participant_real_3:1p6","mk:prolific_participant_real_3:1_8",-0.262393904320991
"114","mk:prolific_participant_real_3:1","mk:prolific_participant_real_3:1p6","mk:prolific_participant_real_3:1p3","mk:prolific_participant_real_3:1_8",-0.541136188271609
"115","mk:prolific_participant_real_3:1","mk:prolific_participant_real_3:1p3","mk:prolific_participant_real_3:1p7","mk:prolific_participant_real_3:1_9",-0.189308449074076
"116","mk:prolific_participant_real_3:1","mk:prolific_participant_real_3:1p7","mk:prolific_participant_real_3:1p3","mk:prolific_participant_real_3:1_9",0.217809606481478
"117","mk:prolific_participant_real_3:1","mk:prolific_participant_real_3:1p4","mk:prolific_participant_real_3:1p5","mk:prolific_participant_real_3:1_10",-0.317081404320991
"118","mk:prolific_participant_real_3:1","mk:prolific_participant_real_3:1p5","mk:prolific_participant_real_3:1p4","mk:prolific_participant_real_3:1_10",-0.0437403549382749
"119","mk:prolific_participant_real_3:1","mk:prolific_participant_real_3:1p4","mk:prolific_participant_real_3:1p6","mk:prolific_participant_real_3:1_11",0.207658179012342
"120","mk:prolific_participant_real_3:1","mk:prolific_participant_real_3:1p6","mk:prolific_participant_real_3:1p4","mk:prolific_participant_real_3:1_11",0.152874228395057
"121","mk:prolific_participant_real_3:1","mk:prolific_participant_real_3:1p4","mk:prolific_participant_real_3:1p7","mk:prolific_participant_real_3:1_12",0.280743634259257
