"dyad_std","question_content","rel1","rel2"
"mk:prolific_participant_real_2:2p1_mk:prolific_participant_real_2:2p6","other_liked",4,1
"mk:prolific_participant_real_2:2p1_mk:prolific_participant_real_2:2p6","other_liked",4,1
"mk:prolific_participant_real_2:2p1_mk:prolific_participant_real_2:2p6","video_conf_quality",4,5
"mk:prolific_participant_real_2:2p1_mk:prolific_participant_real_2:2p6","video_conf_quality",4,5
"mk:prolific_participant_real_2:2p1_mk:prolific_participant_real_2:2p7","conversation_quality",7,6
"mk:prolific_participant_real_2:2p1_mk:prolific_participant_real_2:2p7","conversation_quality",7,6
"mk:prolific_participant_real_2:2p1_mk:prolific_participant_real_2:2p7","liked",7,6
"mk:prolific_participant_real_2:2p1_mk:prolific_participant_real_2:2p7","liked",7,6
"mk:prolific_participant_real_2:2p1_mk:prolific_participant_real_2:2p7","other_liked",6,6
"mk:prolific_participant_real_2:2p1_mk:prolific_participant_real_2:2p7","other_liked",6,6
"mk:prolific_participant_real_2:2p1_mk:prolific_participant_real_2:2p7","video_conf_quality",7,6
"mk:prolific_participant_real_2:2p1_mk:prolific_participant_real_2:2p7","video_conf_quality",7,6
"mk:prolific_participant_real_2:2p2_mk:prolific_participant_real_2:2p5","conversation_quality",6,6
"mk:prolific_participant_real_2:2p2_mk:prolific_participant_real_2:2p5","conversation_quality",6,6
"mk:prolific_participant_real_2:2p2_mk:prolific_participant_real_2:2p5","liked",6,6
"mk:prolific_participant_real_2:2p2_mk:prolific_participant_real_2:2p5","liked",6,6
"mk:prolific_participant_real_2:2p2_mk:prolific_participant_real_2:2p5","other_liked",6,6
"mk:prolific_participant_real_2:2p2_mk:prolific_participant_real_2:2p5","other_liked",6,6
"mk:prolific_participant_real_2:2p2_mk:prolific_participant_real_2:2p5","video_conf_quality",6,6
"mk:prolific_participant_real_2:2p2_mk:prolific_participant_real_2:2p5","video_conf_quality",6,6
"mk:prolific_participant_real_2:2p2_mk:prolific_participant_real_2:2p6","conversation_quality",6,5
"mk:prolific_participant_real_2:2p2_mk:prolific_participant_real_2:2p6","conversation_quality",6,5
"mk:prolific_participant_real_2:2p2_mk:prolific_participant_real_2:2p6","liked",5,5
"mk:prolific_participant_real_2:2p2_mk:prolific_participant_real_2:2p6","liked",5,5
"mk:prolific_participant_real_2:2p2_mk:prolific_participant_real_2:2p6","other_liked",5,4
"mk:prolific_participant_real_2:2p2_mk:prolific_participant_real_2:2p6","other_liked",5,4
"mk:prolific_participant_real_2:2p2_mk:prolific_participant_real_2:2p6","video_conf_quality",5,5
"mk:prolific_participant_real_2:2p2_mk:prolific_participant_real_2:2p6","video_conf_quality",5,5
"mk:prolific_participant_real_2:2p2_mk:prolific_participant_real_2:2p7","conversation_quality",6,6
"mk:prolific_participant_real_2:2p2_mk:prolific_participant_real_2:2p7","conversation_quality",6,6
"mk:prolific_participant_real_2:2p2_mk:prolific_participant_real_2:2p7","liked",6,6
"mk:prolific_participant_real_2:2p2_mk:prolific_participant_real_2:2p7","liked",6,6
"mk:prolific_participant_real_2:2p2_mk:prolific_participant_real_2:2p7","other_liked",5,6
"mk:prolific_participant_real_2:2p2_mk:prolific_participant_real_2:2p7","other_liked",5,6
"mk:prolific_participant_real_2:2p2_mk:prolific_participant_real_2:2p7","video_conf_quality",6,6
"mk:prolific_participant_real_2:2p2_mk:prolific_participant_real_2:2p7","video_conf_quality",6,6
"mk:prolific_participant_real_2:2p3_mk:prolific_participant_real_2:2p5","conversation_quality",7,5
"mk:prolific_participant_real_2:2p3_mk:prolific_participant_real_2:2p5","conversation_quality",7,5
"mk:prolific_participant_real_2:2p3_mk:prolific_participant_real_2:2p5","liked",6,5
"mk:prolific_participant_real_2:2p3_mk:prolific_participant_real_2:2p5","liked",6,5
"mk:prolific_participant_real_2:2p3_mk:prolific_participant_real_2:2p5","other_liked",6,5
"mk:prolific_participant_real_2:2p3_mk:prolific_participant_real_2:2p5","other_liked",6,5
"mk:prolific_participant_real_2:2p3_mk:prolific_participant_real_2:2p5","video_conf_quality",7,6
"mk:prolific_participant_real_2:2p3_mk:prolific_participant_real_2:2p5","video_conf_quality",7,6
"mk:prolific_participant_real_2:2p3_mk:prolific_participant_real_2:2p6","conversation_quality",3,5
"mk:prolific_participant_real_2:2p3_mk:prolific_participant_real_2:2p6","conversation_quality",3,5
"mk:prolific_participant_real_2:2p3_mk:prolific_participant_real_2:2p6","liked",5,5
"mk:prolific_participant_real_2:2p3_mk:prolific_participant_real_2:2p6","liked",5,5
"mk:prolific_participant_real_2:2p3_mk:prolific_participant_real_2:2p6","other_liked",5,5
"mk:prolific_participant_real_2:2p3_mk:prolific_participant_real_2:2p6","other_liked",5,5
"mk:prolific_participant_real_2:2p3_mk:prolific_participant_real_2:2p6","video_conf_quality",3,4
"mk:prolific_participant_real_2:2p3_mk:prolific_participant_real_2:2p6","video_conf_quality",3,4
"mk:prolific_participant_real_2:2p3_mk:prolific_participant_real_2:2p7","conversation_quality",6,6
"mk:prolific_participant_real_2:2p3_mk:prolific_participant_real_2:2p7","conversation_quality",6,6
"mk:prolific_participant_real_2:2p3_mk:prolific_participant_real_2:2p7","liked",6,6
"mk:prolific_participant_real_2:2p3_mk:prolific_participant_real_2:2p7","liked",6,6
"mk:prolific_participant_real_2:2p3_mk:prolific_participant_real_2:2p7","other_liked",6,6
"mk:prolific_participant_real_2:2p3_mk:prolific_participant_real_2:2p7","other_liked",6,6
"mk:prolific_participant_real_2:2p3_mk:prolific_participant_real_2:2p7","video_conf_quality",7,6
"mk:prolific_participant_real_2:2p3_mk:prolific_participant_real_2:2p7","video_conf_quality",7,6
"mk:prolific_participant_real_2:2p3_mk:prolific_participant_real_2:2p8","conversation_quality",6,5
"mk:prolific_participant_real_2:2p3_mk:prolific_participant_real_2:2p8","conversation_quality",6,5
"mk:prolific_participant_real_2:2p3_mk:prolific_participant_real_2:2p8","liked",6,5
"mk:prolific_participant_real_2:2p3_mk:prolific_participant_real_2:2p8","liked",6,5
"mk:prolific_participant_real_2:2p3_mk:prolific_participant_real_2:2p8","other_liked",6,5
"mk:prolific_participant_real_2:2p3_mk:prolific_participant_real_2:2p8","other_liked",6,5
"mk:prolific_participant_real_2:2p3_mk:prolific_participant_real_2:2p8","video_conf_quality",7,6
"mk:prolific_participant_real_2:2p3_mk:prolific_participant_real_2:2p8","video_conf_quality",7,6
"mk:prolific_participant_real_2:2p4_mk:prolific_participant_real_2:2p5","conversation_quality",4,4
"mk:prolific_participant_real_2:2p4_mk:prolific_participant_real_2:2p5","conversation_quality",4,4
"mk:prolific_participant_real_2:2p4_mk:prolific_participant_real_2:2p5","liked",4,5
"mk:prolific_participant_real_2:2p4_mk:prolific_participant_real_2:2p5","liked",4,5
"mk:prolific_participant_real_2:2p4_mk:prolific_participant_real_2:2p5","other_liked",4,4
"mk:prolific_participant_real_2:2p4_mk:prolific_participant_real_2:2p5","other_liked",4,4
"mk:prolific_participant_real_2:2p4_mk:prolific_participant_real_2:2p5","video_conf_quality",5,6
"mk:prolific_participant_real_2:2p4_mk:prolific_participant_real_2:2p5","video_conf_quality",5,6
"mk:prolific_participant_real_2:2p4_mk:prolific_participant_real_2:2p6","conversation_quality",4,4
"mk:prolific_participant_real_2:2p4_mk:prolific_participant_real_2:2p6","conversation_quality",4,4
"mk:prolific_participant_real_2:2p4_mk:prolific_participant_real_2:2p6","liked",5,4
"mk:prolific_participant_real_2:2p4_mk:prolific_participant_real_2:2p6","liked",5,4
"mk:prolific_participant_real_2:2p4_mk:prolific_participant_real_2:2p6","other_liked",5,4
"mk:prolific_participant_real_2:2p4_mk:prolific_participant_real_2:2p6","other_liked",5,4
"mk:prolific_participant_real_2:2p4_mk:prolific_participant_real_2:2p6","video_conf_quality",3,4
"mk:prolific_participant_real_2:2p4_mk:prolific_participant_real_2:2p6","video_conf_quality",3,4
"mk:prolific_participant_real_2:2p4_mk:prolific_participant_real_2:2p7","conversation_quality",4,6
"mk:prolific_participant_real_2:2p4_mk:prolific_participant_real_2:2p7","conversation_quality",4,6
"mk:prolific_participant_real_2:2p4_mk:prolific_participant_real_2:2p7","liked",4,6
"mk:prolific_participant_real_2:2p4_mk:prolific_participant_real_2:2p7","liked",4,6
"mk:prolific_participant_real_2:2p4_mk:prolific_participant_real_2:2p7","other_liked",4,6
"mk:prolific_participant_real_2:2p4_mk:prolific_participant_real_2:2p7","other_liked",4,6
"mk:prolific_participant_real_2:2p4_mk:prolific_participant_real_2:2p7","video_conf_quality",5,6
"mk:prolific_participant_real_2:2p4_mk:prolific_participant_real_2:2p7","video_conf_quality",5,6
"mk:prolific_participant_real_2:2p4_mk:prolific_participant_real_2:2p8","conversation_quality",5,7
"mk:prolific_participant_real_2:2p4_mk:prolific_participant_real_2:2p8","conversation_quality",5,7
"mk:prolific_participant_real_2:2p4_mk:prolific_participant_real_2:2p8","liked",6,7
"mk:prolific_participant_real_2:2p4_mk:prolific_participant_real_2:2p8","liked",6,7
"mk:prolific_participant_real_2:2p4_mk:prolific_participant_real_2:2p8","other_liked",5,7
"mk:prolific_participant_real_2:2p4_mk:prolific_participant_real_2:2p8","other_liked",5,7
"mk:prolific_participant_real_2:2p4_mk:prolific_participant_real_2:2p8","video_conf_quality",6,7
"mk:prolific_participant_real_2:2p4_mk:prolific_participant_real_2:2p8","video_conf_quality",6,7
"mk:prolific_participant_real_3:1p2_mk:prolific_participant_real_3:1p5","conversation_quality",7,7
"mk:prolific_participant_real_3:1p2_mk:prolific_participant_real_3:1p5","conversation_quality",7,7
"mk:prolific_participant_real_3:1p2_mk:prolific_participant_real_3:1p5","liked",7,7
"mk:prolific_participant_real_3:1p2_mk:prolific_participant_real_3:1p5","liked",7,7
"mk:prolific_participant_real_3:1p2_mk:prolific_participant_real_3:1p5","other_liked",6,7
"mk:prolific_participant_real_3:1p2_mk:prolific_participant_real_3:1p5","other_liked",6,7
"mk:prolific_participant_real_3:1p2_mk:prolific_participant_real_3:1p5","video_conf_quality",7,7
"mk:prolific_participant_real_3:1p2_mk:prolific_participant_real_3:1p5","video_conf_quality",7,7
"mk:prolific_participant_real_3:1p2_mk:prolific_participant_real_3:1p6","conversation_quality",7,7
"mk:prolific_participant_real_3:1p2_mk:prolific_participant_real_3:1p6","conversation_quality",7,7
"mk:prolific_participant_real_3:1p2_mk:prolific_participant_real_3:1p6","liked",7,7
"mk:prolific_participant_real_3:1p2_mk:prolific_participant_real_3:1p6","liked",7,7
"mk:prolific_participant_real_3:1p2_mk:prolific_participant_real_3:1p6","other_liked",7,7
"mk:prolific_participant_real_3:1p2_mk:prolific_participant_real_3:1p6","other_liked",7,7
"mk:prolific_participant_real_3:1p2_mk:prolific_participant_real_3:1p6","video_conf_quality",7,4
"mk:prolific_participant_real_3:1p2_mk:prolific_participant_real_3:1p6","video_conf_quality",7,4
"mk:prolific_participant_real_3:1p3_mk:prolific_participant_real_3:1p5","conversation_quality",3,7
"mk:prolific_participant_real_3:1p3_mk:prolific_participant_real_3:1p5","conversation_quality",3,7
"mk:prolific_participant_real_3:1p3_mk:prolific_participant_real_3:1p5","liked",5,7
"mk:prolific_participant_real_3:1p3_mk:prolific_participant_real_3:1p5","liked",5,7
"mk:prolific_participant_real_3:1p3_mk:prolific_participant_real_3:1p5","other_liked",6,7
"mk:prolific_participant_real_3:1p3_mk:prolific_participant_real_3:1p5","other_liked",6,7
"mk:prolific_participant_real_3:1p3_mk:prolific_participant_real_3:1p5","video_conf_quality",6,7
"mk:prolific_participant_real_3:1p3_mk:prolific_participant_real_3:1p5","video_conf_quality",6,7
"mk:prolific_participant_real_3:1p3_mk:prolific_participant_real_3:1p6","conversation_quality",4,7
"mk:prolific_participant_real_3:1p3_mk:prolific_participant_real_3:1p6","conversation_quality",4,7
"mk:prolific_participant_real_3:1p3_mk:prolific_participant_real_3:1p6","liked",6,7
"mk:prolific_participant_real_3:1p3_mk:prolific_participant_real_3:1p6","liked",6,7
"mk:prolific_participant_real_3:1p3_mk:prolific_participant_real_3:1p6","other_liked",6,6
"mk:prolific_participant_real_3:1p3_mk:prolific_participant_real_3:1p6","other_liked",6,6
"mk:prolific_participant_real_3:1p3_mk:prolific_participant_real_3:1p6","video_conf_quality",5,6
"mk:prolific_participant_real_3:1p3_mk:prolific_participant_real_3:1p6","video_conf_quality",5,6
"mk:prolific_participant_real_3:1p3_mk:prolific_participant_real_3:1p7","conversation_quality",7,7
"mk:prolific_participant_real_3:1p3_mk:prolific_participant_real_3:1p7","conversation_quality",7,7
"mk:prolific_participant_real_3:1p3_mk:prolific_participant_real_3:1p7","liked",6,7
"mk:prolific_participant_real_3:1p3_mk:prolific_participant_real_3:1p7","liked",6,7
"mk:prolific_participant_real_3:1p3_mk:prolific_participant_real_3:1p7","other_liked",6,7
"mk:prolific_participant_real_3:1p3_mk:prolific_participant_real_3:1p7","other_liked",6,7
"mk:prolific_participant_real_3:1p3_mk:prolific_participant_real_3:1p7","video_conf_quality",3,7
"mk:prolific_participant_real_3:1p3_mk:prolific_participant_real_3:1p7","video_conf_quality",3,7
"mk:prolific_participant_real_3:1p4_mk:prolific_participant_real_3:1p5","conversation_quality",7,7
"mk:prolific_participant_real_3:1p4_mk:prolific_participant_real_3:1p5","conversation_quality",7,7
"mk:prolific_participant_real_3:1p4_mk:prolific_participant_real_3:1p5","liked",6,7
"mk:prolific_participant_real_3:1p4_mk:prolific_participant_real_3:1p5","liked",6,7
