,sid,user_id,other_id,participant_condition,other_condition,question_content,Unnamed: 0,measure
36,mk:prolific_participant_real_2:1,mk:prolific_participant_real_2:1p3,mk:prolific_participant_real_2:1p8,U,U,conversation_quality,29.0,0.802178201950294
37,mk:prolific_participant_real_2:1,mk:prolific_participant_real_2:1p3,mk:prolific_participant_real_2:1p8,U,U,liked,29.0,0.770746363978397
38,mk:prolific_participant_real_2:1,mk:prolific_participant_real_2:1p3,mk:prolific_participant_real_2:1p8,U,U,other_liked,29.0,0.697182971611175
39,mk:prolific_participant_real_2:1,mk:prolific_participant_real_2:1p3,mk:prolific_participant_real_2:1p8,U,U,video_conf_quality,29.0,0.024971207462924
40,mk:prolific_participant_real_2:1,mk:prolific_participant_real_2:1p5,mk:prolific_participant_real_2:1p1,U,U,conversation_quality,6.0,0.959743484414799
41,mk:prolific_participant_real_2:1,mk:prolific_participant_real_2:1p5,mk:prolific_participant_real_2:1p1,U,U,liked,6.0,1.53006686305475
42,mk:prolific_participant_real_2:1,mk:prolific_participant_real_2:1p5,mk:prolific_participant_real_2:1p1,U,U,other_liked,6.0,0.719312759334263
43,mk:prolific_participant_real_2:1,mk:prolific_participant_real_2:1p5,mk:prolific_participant_real_2:1p1,U,U,video_conf_quality,6.0,0.201093178831347
44,mk:prolific_participant_real_2:1,mk:prolific_participant_real_2:1p5,mk:prolific_participant_real_2:1p2,S,S,conversation_quality,16.0,-0.203877036159111
45,mk:prolific_participant_real_2:1,mk:prolific_participant_real_2:1p5,mk:prolific_participant_real_2:1p2,S,S,liked,16.0,-1.41686204907654
46,mk:prolific_participant_real_2:1,mk:prolific_participant_real_2:1p5,mk:prolific_participant_real_2:1p2,S,S,other_liked,16.0,-0.407947645556558
47,mk:prolific_participant_real_2:1,mk:prolific_participant_real_2:1p5,mk:prolific_participant_real_2:1p2,S,S,video_conf_quality,16.0,0.100939030965562
48,mk:prolific_participant_real_2:1,mk:prolific_participant_real_2:1p5,mk:prolific_participant_real_2:1p3,S,U,conversation_quality,24.0,-1.44916097751575
49,mk:prolific_participant_real_2:1,mk:prolific_participant_real_2:1p5,mk:prolific_participant_real_2:1p3,S,U,liked,24.0,-1.09169795308621
50,mk:prolific_participant_real_2:1,mk:prolific_participant_real_2:1p5,mk:prolific_participant_real_2:1p3,S,U,other_liked,24.0,-1.10415955467464
51,mk:prolific_participant_real_2:1,mk:prolific_participant_real_2:1p5,mk:prolific_participant_real_2:1p3,S,U,video_conf_quality,24.0,-1.21697000846832
52,mk:prolific_participant_real_2:1,mk:prolific_participant_real_2:1p6,mk:prolific_participant_real_2:1p2,S,U,conversation_quality,18.0,0.363440301412111
53,mk:prolific_participant_real_2:1,mk:prolific_participant_real_2:1p6,mk:prolific_participant_real_2:1p2,S,U,liked,18.0,0.756042162196684
54,mk:prolific_participant_real_2:1,mk:prolific_participant_real_2:1p6,mk:prolific_participant_real_2:1p2,S,U,other_liked,18.0,0.135705993924016
55,mk:prolific_participant_real_2:1,mk:prolific_participant_real_2:1p6,mk:prolific_participant_real_2:1p2,S,U,video_conf_quality,18.0,0.372323521704055
56,mk:prolific_participant_real_2:1,mk:prolific_participant_real_2:1p7,mk:prolific_participant_real_2:1p1,S,S,conversation_quality,10.0,0.436463134425992
57,mk:prolific_participant_real_2:1,mk:prolific_participant_real_2:1p7,mk:prolific_participant_real_2:1p1,S,S,liked,10.0,-0.0957421509402732
58,mk:prolific_participant_real_2:1,mk:prolific_participant_real_2:1p7,mk:prolific_participant_real_2:1p1,S,S,other_liked,10.0,0.129893960265281
59,mk:prolific_participant_real_2:1,mk:prolific_participant_real_2:1p7,mk:prolific_participant_real_2:1p1,S,S,video_conf_quality,10.0,-0.745282385473329
60,mk:prolific_participant_real_2:1,mk:prolific_participant_real_2:1p8,mk:prolific_participant_real_2:1p1,S,U,conversation_quality,12.0,-0.742312970325572
61,mk:prolific_participant_real_2:1,mk:prolific_participant_real_2:1p8,mk:prolific_participant_real_2:1p1,S,U,liked,12.0,-0.61470164813461
62,mk:prolific_participant_real_2:1,mk:prolific_participant_real_2:1p8,mk:prolific_participant_real_2:1p1,S,U,other_liked,12.0,-0.42755049802095
63,mk:prolific_participant_real_2:1,mk:prolific_participant_real_2:1p8,mk:prolific_participant_real_2:1p1,S,U,video_conf_quality,12.0,0.0863176926975546
64,mk:prolific_participant_real_2:1,mk:prolific_participant_real_2:1p8,mk:prolific_participant_real_2:1p2,U,S,conversation_quality,22.0,0.094066509100518
65,mk:prolific_participant_real_2:1,mk:prolific_participant_real_2:1p8,mk:prolific_participant_real_2:1p2,U,S,liked,22.0,0.438369439734105
66,mk:prolific_participant_real_2:1,mk:prolific_participant_real_2:1p8,mk:prolific_participant_real_2:1p2,U,S,other_liked,22.0,0.44518909708823
67,mk:prolific_participant_real_2:1,mk:prolific_participant_real_2:1p8,mk:prolific_participant_real_2:1p2,U,S,video_conf_quality,22.0,-0.0138364551682306
68,mk:prolific_participant_real_2:1,mk:prolific_participant_real_2:1p8,mk:prolific_participant_real_2:1p3,U,U,conversation_quality,30.0,0.848782567743882
69,mk:prolific_participant_real_2:1,mk:prolific_participant_real_2:1p8,mk:prolific_participant_real_2:1p3,U,U,liked,30.0,0.763533535724438
